top - 01:40:13 up  1:02,  1 user,  load average: 2.36, 1.45, 0.83
Tasks: 329 total,   1 running, 323 sleeping,   0 stopped,   5 zombie
%Cpu(s): 10.3 us, 17.2 sy,  0.0 ni, 72.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3355.1 total,    104.8 free,   1980.9 used,   1255.2 buff/cache     
MiB Swap:   3547.0 total,   2988.4 free,    558.6 used.   1374.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   6767 demetri+  20   0   13500   5704   3608 R   7.1   0.2   0:00.05 top
      1 root      20   0   25564  14872   9744 S   0.0   0.4   0:08.14 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.37 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:04.06 rcu_pre+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.01 rcu_exp+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.02 rcu_exp+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:01.58 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.58 ksoftir+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kdevtmp+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     32 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     33 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:01.29 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     55 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:15.01 kswapd0
     59 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
